iter	MultiClass
0	1.053200827
1	1.013220541
2	0.9776447561
3	0.945851057
4	0.9172084136
5	0.8915145111
6	0.8678009301
7	0.8458241979
8	0.8261106463
9	0.8084292562
10	0.7923050466
11	0.7767923043
12	0.7624500762
13	0.7491431616
14	0.7373257
15	0.7261810873
16	0.7157515191
17	0.7058556835
18	0.6965790586
19	0.6877123079
20	0.6797428708
21	0.6718254081
22	0.664377484
23	0.65758362
24	0.6505117852
25	0.6445603827
26	0.639113671
27	0.633810325
28	0.6289568058
29	0.6242374931
30	0.6193610894
31	0.6144703228
32	0.6105632933
33	0.6069108634
34	0.603484788
35	0.6000516926
36	0.5970091768
37	0.593201233
38	0.5899151246
39	0.5865595866
40	0.5840179087
41	0.5808482743
42	0.5780811079
43	0.575368883
44	0.573300785
45	0.5710380604
46	0.568615783
47	0.5667058445
48	0.5648501661
49	0.5627532407
50	0.560764413
51	0.5593650643
52	0.5577095504
53	0.555613341
54	0.5537151119
55	0.5517838185
56	0.5504803381
57	0.5489925315
58	0.5475956567
59	0.5459234776
60	0.5446406083
61	0.5430701521
62	0.5419418989
63	0.5406534706
64	0.539285104
65	0.5379171381
66	0.5367115776
67	0.5357645546
68	0.534865478
69	0.5338487678
70	0.5330438051
71	0.5320167795
72	0.5309547617
73	0.5298720104
74	0.5288486405
75	0.5278545361
76	0.5271118041
77	0.5262668168
78	0.5253420217
79	0.5247259771
80	0.5237483684
81	0.5229426127
82	0.5222073323
83	0.5214531023
84	0.5206973655
85	0.519971272
86	0.5193547732
87	0.5188010137
88	0.5180379004
89	0.5174614384
90	0.5166087535
91	0.5157623809
92	0.5151395984
93	0.5143921652
94	0.5137975935
95	0.5131351008
96	0.5124286077
97	0.5116779202
98	0.5110502203
99	0.5104832543
100	0.5099017834
101	0.5093687015
102	0.5087197178
103	0.5080536127
104	0.5074503779
105	0.506962473
106	0.5064720106
107	0.5060580317
108	0.5056204996
109	0.5052349674
110	0.5046516177
111	0.5041891533
112	0.5036330155
113	0.5030849642
114	0.5027692591
115	0.5022674573
116	0.5018751803
117	0.5012270697
118	0.5006385361
119	0.5001632027
120	0.4996533906
121	0.4990624866
122	0.4984708027
123	0.4981891892
124	0.4975851623
125	0.497233519
126	0.4967946175
127	0.4962893407
128	0.4958983001
129	0.4953746739
130	0.4948429256
131	0.4943913169
132	0.493920719
133	0.4933828311
134	0.4929508364
135	0.4926077064
136	0.4921085484
137	0.4915517493
138	0.4911069918
139	0.4907285258
140	0.490276553
141	0.4898849023
142	0.4895427658
143	0.4892022989
144	0.4885794609
145	0.4880586156
146	0.4875587167
147	0.4871686771
148	0.4867196324
149	0.4864314848
150	0.486035902
151	0.4854595595
152	0.4850011955
153	0.4847042793
154	0.484245196
155	0.4838999601
156	0.4835163106
157	0.4831070842
158	0.4827638601
159	0.4823922425
160	0.4820417214
161	0.4817624894
162	0.4815056737
163	0.481166947
164	0.4808438453
165	0.480489867
166	0.480176274
167	0.4798356509
168	0.4795315759
169	0.4792297331
170	0.4788330153
171	0.4784469957
172	0.4781569044
173	0.4777702608
174	0.4773744119
175	0.4769027268
176	0.4763317735
177	0.4758585397
178	0.4754780086
179	0.4751122199
180	0.4747423209
181	0.4744442311
182	0.4741031624
183	0.4736625017
184	0.4734231698
185	0.4731159804
186	0.472752196
187	0.4723842286
188	0.4719999457
189	0.4715181346
190	0.4711482483
191	0.4708228184
192	0.4705091174
193	0.4702331901
194	0.4698759389
195	0.4694977121
196	0.4691197067
197	0.4687639334
198	0.4685306254
199	0.4681047631
