iter	Passed	Remaining
0	141	28160
1	277	27459
2	412	27061
3	548	26869
4	683	26653
5	811	26241
6	946	26083
7	1073	25770
8	1207	25629
9	1353	25708
10	1484	25500
11	1626	25489
12	1798	25873
13	1971	26191
14	2102	25929
15	2229	25638
16	2355	25357
17	2497	25252
18	2628	25037
19	2763	24872
20	2900	24724
21	3047	24656
22	3221	24794
23	3404	24963
24	3581	25067
25	3746	25070
26	3912	25067
27	4056	24919
28	4195	24738
29	4333	24557
30	4479	24422
31	4618	24246
32	4760	24091
33	4900	23927
34	5048	23802
35	5199	23685
36	5341	23532
37	5463	23293
38	5594	23094
39	5722	22891
40	5844	22665
41	5971	22465
42	6102	22279
43	6231	22094
44	6359	21906
45	6492	21736
46	6627	21576
47	6755	21391
48	6892	21240
49	7039	21118
50	7179	20975
51	7306	20794
52	7433	20617
53	7560	20440
54	7695	20288
55	7835	20148
56	7971	19997
57	8116	19871
58	8252	19722
59	8392	19582
60	8522	19419
61	8664	19284
62	8789	19113
63	8915	18944
64	9041	18779
65	9169	18616
66	9300	18462
67	9438	18321
68	9580	18188
69	9728	18067
70	9875	17943
71	10022	17817
72	10160	17677
73	10284	17511
74	10421	17369
75	10587	17274
76	10740	17156
77	10877	17012
78	11014	16870
79	11147	16721
80	11270	16558
81	11393	16396
82	11526	16248
83	11650	16088
84	11769	15922
85	11902	15777
86	12035	15632
87	12167	15485
88	12301	15342
89	12430	15193
90	12560	15045
91	12698	14907
92	12830	14761
93	12964	14619
94	13100	14480
95	13240	14344
96	13367	14194
97	13490	14041
98	13638	13914
99	13788	13788
100	13925	13649
101	14060	13509
102	14183	13357
103	14315	13213
104	14437	13062
105	14567	12918
106	14698	12775
107	14835	12637
108	14978	12504
109	15110	12363
110	15246	12224
111	15380	12084
112	15517	11947
113	15651	11807
114	15774	11659
115	15896	11511
116	16030	11372
117	16170	11237
118	16301	11096
119	16430	10953
120	16559	10811
121	16690	10670
122	16817	10527
123	16957	10393
124	17108	10265
125	17242	10126
126	17385	9993
127	17526	9858
128	17672	9726
129	17815	9593
130	17962	9461
131	18109	9329
132	18250	9193
133	18395	9060
134	18535	8924
135	18675	8788
136	18823	8655
137	18969	8522
138	19118	8389
139	19257	8253
140	19399	8117
141	19540	7981
142	19679	7844
143	19808	7703
144	19959	7570
145	20107	7436
146	20240	7297
147	20373	7158
148	20514	7021
149	20666	6888
150	20801	6750
151	20929	6609
152	21066	6471
153	21199	6332
154	21333	6193
155	21457	6052
156	21603	5916
157	21763	5785
158	21909	5649
159	22041	5510
160	22166	5369
161	22300	5230
162	22436	5092
163	22570	4954
164	22705	4816
165	22844	4678
166	22985	4542
167	23118	4403
168	23246	4264
169	23363	4123
170	23486	3983
171	23607	3843
172	23731	3703
173	23852	3564
174	23973	3424
175	24096	3285
176	24230	3148
177	24368	3011
178	24494	2873
179	24628	2736
180	24750	2598
181	24877	2460
182	25006	2322
183	25145	2186
184	25283	2050
185	25424	1913
186	25568	1777
187	25711	1641
188	25834	1503
189	25957	1366
190	26096	1229
191	26236	1093
192	26381	956
193	26515	820
194	26656	683
195	26795	546
196	26938	410
197	27075	273
198	27222	136
199	27394	0
