Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database
"Konis, Kyle.""Evaluating daylighting effectiveness and occupant visual comfort in a side-lit open-plan office building in San Francisco, California"". Building and Environment 59. 1 (2013); 662-667.",Kyle Konis,2010.0,Summer,Csb,Warm-summer Mediterranean,San Francisco,USA,Office,Mixed Mode,Unknown,,,,,,,,,2.7,,,,,,,,,,25.3,77.6,25.3,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,62.7,Database 2
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,32.0,Male,0.0,,cooler,,,,2.63,95.81,35.56,0.4,1.88,,,,,33.1,91.6,,,33.1,91.6,,,33.3,91.9,33.4,92.1,33.4,92.1,,,33.4,92.1,,,51.3,,,0.02,4.43,,,0.02,4.43,,,,,,,,,,,,Database 1
"Cao, Bin, et al. ""Field study of human thermal comfort and thermal adaptability during the summer and winter in Beijing."" Energy and Buildings 43.5 (2011): 1051-1056.",Yufeng Zhang,2004.0,Summer,Dwa,Monsoon-influenced hot-summer humid continental,Beijing,China,Classroom,Naturally Ventilated,,Mechanical Heating,,,0.0,,,,,2.0,-0.4,8.0,23.7,1.01,1.1,,,,,24.3,75.7,24.3,75.7,,,,,,,21.0,69.8,,,,,,,,,25.6,,,0.5,98.43,0.5,98.5,,,,,,,,,,,,26.0,79.0,Database 2
"Loveday D. L., Webb L. H., Verma P., Cook M. J., Rawal R., Vadodaria K., Cropper P., Brager G., Zhang H., Foldvary V., Arens E., Babich F., Cobb R., Ariffin R., Kaam S., Toledo L. The Role of Air Motion for Providing Thermal Comfort in Residential / Mixed Mode Buildings: Multi-partner Global Innovation Initiative (GII) Project. Proceedings of 9th Windsor Conference. (2016) Windsor, UK.",Lynda Webb,2015.0,Summer,BSh,Hot semi-arid,Ahmedabad,India,Multifamily housing,Mixed Mode,Unknown,,16.0,Male,-1.0,,cooler,,,2.0,,,,0.56,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,19.67,,,,,,,,,,,,,,29.5,85.1,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,Aw,Tropical wet savanna,Bangalore,India,Office,Naturally Ventilated,,,45.0,Female,0.0,1.0,no change,,more,6.0,0.8,18.0,29.53,0.72,1.4,,,,,24.4,75.9,24.4,75.9,,,,,,,,,,,24.7,76.5,,,,,74.2,,,0.09,17.72,0.09,17.72,,,,,157.5,55.0,,0.0,1.0,,,30.8,87.4,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Summer,BSh,Hot semi-arid,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,,Male,0.0,1.0,cooler,,no change,,1.6,58.0,30.35,0.68,1.0,,,,,30.0,86.0,,,,,,,,,,,,,29.4,84.9,,,,,53.0,,,0.02,3.94,,,,,,,,70.0,,,0.0,1.0,,27.0,80.6,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,1.0,1.0,warmer,,,,-0.5,10.0,23.0,0.57,1.5,,,,,20.3,68.5,,,,,,,,,,,,,21.3,70.3,,,19.9,67.9,40.6,,,0.01,1.97,,,,,,,,,,,,,,4.0,39.0,Database 2
"De Vecchi, R. et al. ""Thermal history and its influence on occupants' thermal acceptability and cooling preferences in warm-humid climates: a new desire for comfort?""  Proceedings of 7th Windsor Conference: The changing context of comfort in an unpredictable world Cumberland Lodge, Windsor, UK, 12-15 April 2012. London: Network for Comfort and Energy Use in Buildings, http://nceub.org.uk.",Renata De Vecchi,2010.0,Winter,Cfa,Humid subtropical,Florianopolis,Brazil,Office,Mixed Mode,Naturally Ventilated,,32.0,Female,-1.0,1.0,no change,1.0,no change,,,,,1.04,1.0,,,,,18.5,65.2,,,,,,,,,,,,,,,,,,,52.4,,,0.1,19.69,,,,,,,167.0,60.0,,,1.0,,,19.0,66.2,Database 2
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Saidu Sharif,Pakistan,,Naturally Ventilated,,,18.0,Male,2.0,,cooler,,,,3.0,99.12,30.93,0.5,0.77,,,,,36.7,98.1,,,36.7,98.1,,,36.8,98.2,36.8,98.3,36.8,98.2,,,36.8,98.2,,,17.1,,,0.56,110.73,,,0.56,110.73,,,,,,,,,,,,Database 1
"Konis, Kyle.""Evaluating daylighting effectiveness and occupant visual comfort in a side-lit open-plan office building in San Francisco, California"". Building and Environment 59. 1 (2013); 662-667.",Kyle Konis,2010.0,Summer,Csb,Warm-summer Mediterranean,San Francisco,USA,Office,Mixed Mode,Unknown,,,,,,,,,6.0,,,,,,,,,,24.0,75.1,24.0,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,62.7,Database 2
